date,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness,loudness,key,mode,audio_feature_event_count,audio_feature_total_ms
2018-09-21,0.6755327665651067,0.6714626456179258,0.40839849534198897,124.8182503570776,0.15825466742230954,0.005862069201311979,0.09929487982124317,0.1890147968499866,-5.866255425121007,0.0,0.0,31,6467782
2018-09-22,0.6625109058075087,0.6642177756624514,0.42924289504736224,128.33512289117937,0.17789565927522016,0.007728923298467172,0.08572418415550884,0.16590900107552503,-6.033539605515697,0.0,0.0,23,4901792
2018-09-23,0.6589932444395628,0.6712080230823282,0.43401557358986365,121.1476430219597,0.20354891706137407,0.0067927060015482805,0.0788016330232729,0.1784888335711395,-5.838343748094318,5.0,0.0,54,11544416
2018-09-24,0.6443863757391286,0.7005862821590729,0.5233179334012723,113.02619196490126,0.12063313107186138,0.00023431926072792705,0.11050665047330843,0.2095076063168611,-5.135249333484,10.0,0.0,14,2893779
2018-09-25,0.6785750099921507,0.7228447600198399,0.4743736303530239,112.50711388933031,0.17502704434588734,0.01873488520092169,0.09891314369916643,0.1843300988620987,-5.092379985360896,10.0,1.0,14,2076630
2018-09-26,0.6797780253697697,0.7703132980821304,0.5085310665700153,116.76556182026951,0.138155069117365,0.0009259005779902714,0.12932396414412306,0.1812935719222238,-4.732245917546439,9.0,1.0,17,1658194
2018-09-27,0.6940769602758362,0.7824985124710425,0.4664990101668479,118.67107900578849,0.08828287318420125,3.2794032571710525e-05,0.0945605049303525,0.12890311786753597,-4.222950475419214,9.0,1.0,15,2338778
2018-09-28,0.6644503241557539,0.7222967419085511,0.4757373106128369,119.08143651745183,0.15619828486682755,0.000509533738543767,0.09851355600628735,0.14570560317326628,-4.8965885700901115,9.0,0.0,27,4499843
2018-09-29,0.6781581083146199,0.7851636173177523,0.415571429969489,119.45772091192897,0.06709739343526766,0.014266359244141887,0.08830248895075245,0.1351660734087089,-4.460388826239055,9.0,1.0,14,2656742
2018-09-30,0.7155105819174665,0.8333831832405624,0.45353184966922605,126.28667869755343,0.06127161602397452,0.0,0.086197888812348,0.11602116383493316,-3.6343808970703835,9.0,1.0,3,596631
2018-10-01,0.6994166552229425,0.7294863353856643,0.5369714453504284,128.85126281522076,0.18779856263621397,2.3559649805887514e-07,0.08439179266880033,0.18235047837459267,-4.563727460575698,9.0,0.0,11,1237942
