date,is_exam,is_deadline,is_academic_event,is_personal,is_stress_period,source_events,categories
2026-01-08,1,0,0,0,1,DSA201 FINAL; Dsa the3 son gün; HUM201 FINAL; IE303 FINAL; MATH203 FINAL,exam; stress_before_deadline; stress_before_exam
2026-01-09,0,1,0,0,1,DSA201 FINAL; Dsa the3 son gün; HUM201 FINAL; IE303 FINAL,deadline; stress_before_exam
2026-01-10,1,0,0,0,1,DSA201 FINAL; HUM201 FINAL; IE303 FINAL,exam; stress_before_exam
2026-01-11,1,0,0,0,1,Dsa objection; Ens objection; HUM201 FINAL; IE303 FINAL,exam; stress_before_deadline; stress_before_exam
2026-01-12,0,0,0,0,1,Dsa objection; Dsa the 3 son gün; Ens objection; IE303 FINAL,stress_before_deadline; stress_before_exam
2026-01-13,1,0,0,0,1,Dsa objection; Dsa the 3 son gün; Ens objection; IE303 FINAL,exam; stress_before_deadline
2026-01-14,0,1,0,0,1,Dsa objection; Dsa the 3 son gün; Ens objection; Kavek mülakat; Thy staj başvuru son gün !!!,deadline; stress_before_deadline
2026-01-15,0,1,0,0,1,Dsa the 3 son gün; Kavek mülakat; Thy staj başvuru son gün !!!,deadline; stress_before_deadline
2026-01-16,0,0,0,0,1,Dominos data mail; Kavek mülakat; Thy staj başvuru son gün !!!,stress_before_deadline
2026-01-17,0,1,0,0,1,Dominos data mail; Kavek mülakat; Thy staj başvuru son gün !!!,deadline; stress_before_deadline
2026-01-18,0,1,0,0,1,Dominos data mail; Thy staj başvuru son gün !!!,deadline; stress_before_deadline
2026-01-19,0,1,0,0,0,Dominos data mail,deadline
2026-01-27,0,0,0,1,0,Berille beraber yapabilecek bir aktivite,personal
2026-02-07,0,0,0,0,1,Garanti bbva yarışma son gün,stress_before_deadline
2026-02-08,0,0,0,0,1,Erasmus başvuru son gün; Garanti bbva yarışma son gün,stress_before_deadline
2026-02-09,0,0,0,0,1,Erasmus başvuru son gün; Garanti bbva yarışma son gün,stress_before_deadline
2026-02-10,0,1,0,0,1,Erasmus başvuru son gün; Garanti bbva yarışma son gün,deadline; stress_before_deadline
2026-02-11,0,1,0,0,0,Erasmus başvuru son gün,deadline
2026-02-15,0,0,0,0,1,Take off 101 mülakat,stress_before_deadline
2026-02-16,0,0,0,0,1,Take off 101 mülakat,stress_before_deadline
2026-02-17,0,0,0,0,1,Take off 101 mülakat,stress_before_deadline
2026-02-18,0,1,0,0,1,THY sınav; Take off 101 mülakat,deadline; stress_before_exam
2026-02-19,0,0,0,0,1,THY sınav,stress_before_exam
2026-02-20,0,0,0,0,1,Econ204 hocasına mail; THY sınav,stress_before_deadline; stress_before_exam
2026-02-21,0,0,0,0,1,Econ204 hocasına mail; THY sınav,stress_before_deadline; stress_before_exam
2026-02-22,0,0,0,0,1,Econ204 hocasına mail; THY sınav,stress_before_deadline; stress_before_exam
2026-02-23,0,1,0,0,1,Econ204 hocasına mail; THY sınav,deadline; stress_before_exam
2026-02-24,0,0,0,0,1,THY sınav,stress_before_exam
2026-02-25,1,0,1,0,1,THY sınav; Thy formu; Unicourse,academic_event; exam; stress_before_deadline
2026-02-26,0,0,1,0,1,Thy formu; Unicourse,academic_event; stress_before_deadline
2026-02-27,0,0,0,1,1,Beril haftasonu dönecek mi sor; Thy formu,personal; stress_before_deadline
2026-02-28,0,1,0,0,1,Thy formu,deadline; stress_before_deadline
2026-03-01,0,1,0,0,1,Thy formu,deadline; stress_before_deadline
2026-03-02,0,1,0,0,0,Thy formu,deadline
